x_ethanol,Tbub,y_ethanol,Tdew
0.942154,351.531,0.942154,351.545
0.942682,351.531,0.942682,351.546
0.94321,351.531,0.94321,351.546
0.943737,351.531,0.943737,351.546
0.944263,351.531,0.944263,351.546
0.944789,351.531,0.944789,351.546
0.945313,351.531,0.945313,351.547
0.945837,351.531,0.945837,351.547
0.94636,351.531,0.94636,351.547
0.946883,351.531,0.946883,351.548
0.947404,351.531,0.947404,351.534
0.947925,351.532,0.947925,351.534
0.948445,351.532,0.948445,351.534
0.948964,351.532,0.948964,351.533
0.949482,351.532,0.949482,351.533
0.95,351.533,0.95,351.534
0,373.132,0,373.132
0.00848,372.249,0.00848,373.047
0.016873,371.419,0.016873,372.962
0.02518,370.639,0.02518,372.877
0.033402,369.904,0.033402,372.791
0.041542,369.212,0.041542,372.706
0.049599,368.559,0.049599,372.62
0.057576,367.942,0.057576,372.533
0.065473,367.359,0.065473,372.447
0.073292,366.808,0.073292,372.36
0.081033,366.286,0.081033,372.273
0.088699,365.791,0.088699,372.186
0.09629,365.322,0.09629,372.099
0.103807,364.876,0.103807,372.012
0.111251,364.453,0.111251,371.924
0.118623,364.051,0.118623,371.836
0.125925,363.668,0.125925,371.748
0.133157,363.304,0.133157,371.659
0.140321,362.957,0.140321,371.571
0.147417,362.626,0.147417,371.482
0.154446,362.311,0.154446,371.393
0.161409,362.01,0.161409,371.304
0.168307,361.722,0.168307,371.214
0.175142,361.447,0.175142,371.124
0.181913,361.185,0.181913,371.034
0.188622,360.933,0.188622,370.944
0.19527,360.692,0.19527,370.854
0.201857,360.462,0.201857,370.763
0.208385,360.241,0.208385,370.672
0.214853,360.029,0.214853,370.581
0.221264,359.826,0.221264,370.49
0.227617,359.631,0.227617,370.398
0.233914,359.444,0.233914,370.306
0.240154,359.264,0.240154,370.214
0.24634,359.091,0.24634,370.122
0.252472,358.925,0.252472,370.029
0.258549,358.765,0.258549,369.936
0.264574,358.611,0.264574,369.843
0.270547,358.463,0.270547,369.75
0.276468,358.32,0.276468,369.656
0.282338,358.183,0.282338,369.562
0.288158,358.05,0.288158,369.468
0.293928,357.922,0.293928,369.374
0.299649,357.798,0.299649,369.279
0.305322,357.679,0.305322,369.184
0.310948,357.564,0.310948,369.089
0.316526,357.452,0.316526,368.994
0.322057,357.345,0.322057,368.898
0.327543,357.24,0.327543,368.802
0.332983,357.139,0.332983,368.706
0.338378,357.042,0.338378,368.61
0.343729,356.947,0.343729,368.513
0.349036,356.855,0.349036,368.416
0.354301,356.767,0.354301,368.319
0.359522,356.68,0.359522,368.222
